Year,Country,# publications
2000,CAN,3338
2001,CAN,3443
2002,CAN,8806
2003,CAN,6444
2004,CAN,6793
2005,CAN,8129
2006,CAN,9235
2007,CAN,9379
2008,CAN,9825
2009,CAN,10691
2010,CAN,11670
2011,CAN,11647
2012,CAN,12031
2013,CAN,12510
2014,CAN,12911
2015,CAN,13154
2016,CAN,13614
2017,CAN,14188
2018,CAN,15423
2019,CAN,17439
2020,CAN,19539
2021,CAN,21275
2022,CAN,19839
2023,CAN,19570.94479598516
2000,CHN,4786
2001,CHN,6505
2002,CHN,14719
2003,CHN,16753
2004,CHN,27912
2005,CHN,41834
2006,CHN,59277
2007,CHN,70305
2008,CHN,85680
2009,CHN,99371
2010,CHN,109641
2011,CHN,111521
2012,CHN,98965
2013,CHN,95977
2014,CHN,89532
2015,CHN,74635
2016,CHN,65656
2017,CHN,74271
2018,CHN,93361
2019,CHN,118507
2020,CHN,133005
2021,CHN,165742
2022,CHN,194914
2023,CHN,196791.30700414572
2000,DEU,5196
2001,DEU,5293
2002,DEU,9254
2003,DEU,7673
2004,DEU,7830
2005,DEU,9157
2006,DEU,10529
2007,DEU,11430
2008,DEU,12407
2009,DEU,13892
2010,DEU,15481
2011,DEU,16002
2012,DEU,17516
2013,DEU,17946
2014,DEU,18868
2015,DEU,19517
2016,DEU,20387
2017,DEU,20945
2018,DEU,23166
2019,DEU,25929
2020,DEU,28293
2021,DEU,32005
2022,DEU,28830
2023,DEU,28048.055858607895
2000,EU27,21357
2001,EU27,22464
2002,EU27,43379
2003,EU27,36496
2004,EU27,37536
2005,EU27,44371
2006,EU27,51962
2007,EU27,55942
2008,EU27,60803
2009,EU27,67067
2010,EU27,72878
2011,EU27,76270
2012,EU27,81640
2013,EU27,87534
2014,EU27,91069
2015,EU27,94027
2016,EU27,96063
2017,EU27,99324
2018,EU27,106901
2019,EU27,117393
2020,EU27,123973
2021,EU27,139086
2022,EU27,129877
2023,EU27,124757.8442068514
2000,FRA,3734
2001,FRA,3765
2002,FRA,7456
2003,FRA,6211
2004,FRA,6612
2005,FRA,8070
2006,FRA,9793
2007,FRA,10449
2008,FRA,11408
2009,FRA,12080
2010,FRA,13205
2011,FRA,13547
2012,FRA,14607
2013,FRA,15657
2014,FRA,16224
2015,FRA,16318
2016,FRA,16709
2017,FRA,17012
2018,FRA,18027
2019,FRA,19430
2020,FRA,18634
2021,FRA,21002
2022,FRA,19073
2023,FRA,16858.651538293692
2000,G7,53489
2001,G7,55056
2002,G7,124737
2003,G7,96109
2004,G7,89217
2005,G7,106707
2006,G7,114152
2007,G7,115576
2008,G7,121163
2009,G7,129468
2010,G7,141838
2011,G7,142377
2012,G7,148370
2013,G7,156357
2014,G7,159218
2015,G7,162517
2016,G7,168054
2017,G7,174596
2018,G7,193183
2019,G7,211865
2020,G7,228255
2021,G7,244750
2022,G7,218957
2023,G7,212399.89526511016
2000,GBR,7824
2001,GBR,7602
2002,GBR,12350
2003,GBR,10998
2004,GBR,11171
2005,GBR,13151
2006,GBR,14850
2007,GBR,15763
2008,GBR,16433
2009,GBR,17702
2010,GBR,19115
2011,GBR,19321
2012,GBR,20312
2013,GBR,22204
2014,GBR,22978
2015,GBR,23846
2016,GBR,25695
2017,GBR,26737
2018,GBR,29719
2019,GBR,32539
2020,GBR,35897
2021,GBR,38957
2022,GBR,35050
2023,GBR,35768.247872572545
2000,IND,1019
2001,IND,1011
2002,IND,2119
2003,IND,1756
2004,IND,2158
2005,IND,2842
2006,IND,3683
2007,IND,3929
2008,IND,4713
2009,IND,5947
2010,IND,7381
2011,IND,9197
2012,IND,11388
2013,IND,12809
2014,IND,15793
2015,IND,17900
2016,IND,21687
2017,IND,23208
2018,IND,27645
2019,IND,28823
2020,IND,37473
2021,IND,47147
2022,IND,52665
2023,IND,52718.647174339945
2000,ITA,2786
2001,ITA,3007
2002,ITA,6994
2003,ITA,5344
2004,ITA,5207
2005,ITA,5880
2006,ITA,7096
2007,ITA,7395
2008,ITA,7832
2009,ITA,8817
2010,ITA,9310
2011,ITA,9607
2012,ITA,10403
2013,ITA,11377
2014,ITA,11883
2015,ITA,12491
2016,ITA,12870
2017,ITA,13478
2018,ITA,14516
2019,ITA,15924
2020,ITA,17983
2021,ITA,20421
2022,ITA,19960
2023,ITA,20421.523019855988
2000,JPN,6105
2001,JPN,6754
2002,JPN,18867
2003,JPN,14044
2004,JPN,12133
2005,JPN,13643
2006,JPN,14579
2007,JPN,14034
2008,JPN,14300
2009,JPN,15475
2010,JPN,16509
2011,JPN,15923
2012,JPN,16350
2013,JPN,16599
2014,JPN,16376
2015,JPN,16405
2016,JPN,16406
2017,JPN,17052
2018,JPN,18850
2019,JPN,19858
2020,JPN,20298
2021,JPN,21063
2022,JPN,19893
2023,JPN,17460.746236089897
2000,USA,27832
2001,USA,28770
2002,USA,65856
2003,USA,50485
2004,USA,45037
2005,USA,55053
2006,USA,55894
2007,USA,55878
2008,USA,58545
2009,USA,61317
2010,USA,68129
2011,USA,68523
2012,USA,70153
2013,USA,74363
2014,USA,75307
2015,USA,77379
2016,USA,80557
2017,USA,84603
2018,USA,95357
2019,USA,104675
2020,USA,115087
2021,USA,120187
2022,USA,102263
2023,USA,101295.26511018982
