"","year","state_location","school_name","school_level","school_type","enrollment","charter","magnet","virtual"
"1",2015,"AL","Asbury Elem Sch","Primary","Regular","491","No","No","Yes"
"2",2015,"AL","Brocks Gap Intermediate Sch","Middle","Regular","828","No","No","Yes"
"3",2015,"AL","Crossroads Sch","Other","Vocational","Missing/not reported","No","No","Yes"
"4",2015,"AL","James Clemens High School","High","Regular","1698","No","No","Yes"
"5",2015,"AL","Chickasaw Elementary","Primary","Regular","530","No","No","Yes"
"6",2015,"AL","Satsuma City High School","High","Regular","667","No","No","Yes"
"7",2015,"AL","Robert E. Lee Elementary","Primary","Regular","641","No","No","Yes"
"8",2015,"AL","Thompson Intermediate School","Middle","Regular","958","No","No","Yes"
"9",2015,"AL","Thompson High School","High","Regular","1873","No","No","Yes"
"10",2015,"AL","Thompson Middle School","Middle","Regular","1004","No","No","Yes"
"11",2015,"AL","Meadow View  Elementary School","Primary","Regular","897","No","No","Yes"
"12",2015,"AL","Creek View Elementary School","Primary","Regular","884","No","No","Yes"
"13",2015,"AL","Thompson Sixth Grade Center","Middle","Regular","487","No","No","Yes"
"14",2015,"AL","Valley Intermediate School","Primary","Regular","718","No","No","Yes"
"15",2015,"AL","Valley Elementary School","Primary","Regular","697","No","No","Yes"
"16",2015,"AL","Riverchase Middle School","Middle","Regular","699","No","No","Yes"
"17",2015,"AL","Pelham High School","High","Regular","920","No","No","Yes"
"18",2015,"AL","Pike Road School","Primary","Regular","1125","No","No","Yes"
"19",2015,"AL","Pick Elementary School","Primary","Regular","501","No","No","Yes"
"20",2015,"AL","Huffman Acad","Primary","Regular","816","No","No","Yes"
"21",2015,"AL","West End Acad","Primary","Regular","650","No","No","Yes"
"22",2015,"AL","Bush Hills Acad","Primary","Regular","507","No","No","Yes"
"23",2015,"AL","Hayes K-8","Primary","Regular","905","No","No","Yes"
"24",2015,"AL","Oxmoor K-5","Primary","Regular","562","No","No","Yes"
"25",2015,"AL","Chilton County Alternative School","Other","Vocational","Missing/not reported","No","No","Yes"
"26",2015,"AL","Central Clay County Jr High Sch","Middle","Regular","293","No","No","Yes"
"27",2015,"AL","Future Clay Co High Sch","High","Regular","666","No","No","Yes"
"28",2015,"AL","Cleburne County Alternative School","Other","Vocational","Missing/not reported","No","No","Yes"
"29",2015,"AL","Compass Acad","High","Vocational","Missing/not reported","No","No","Yes"
"30",2015,"AL","Red Level Elem Sch","Primary","Regular","379","No","No","Yes"
"31",2015,"AL","South Dekalb Primary School","Middle","Regular","755","No","No","Yes"
"32",2015,"AL","Decatur High Dev","High","Special","44","No","No","Yes"
"33",2015,"AL","Sardis Middle School","Middle","Regular","415","No","No","Yes"
"34",2015,"AL","Greene Co Career Ctr","High","Other","Missing/not reported","No","No","Yes"
"35",2015,"AL","Hale County Middle School","Middle","Regular","301","No","No","Yes"
"36",2015,"AL","Hartselle Intermediate School","Middle","Regular","448","No","No","Yes"
"37",2015,"AL","Hope High School","High","Vocational","Missing/not reported","No","No","Yes"
"38",2015,"AL","Providence Elem","Primary","Regular","821","No","No","Yes"
"39",2015,"AL","Goldsmith-Schiffman Elem","Primary","Regular","677","No","No","Yes"
"40",2015,"AL","Ronald McNair 7-8","Middle","Regular","355","No","No","Yes"
"41",2015,"AL","McAdory Middle Sch","Middle","Regular","836","No","No","Yes"
"42",2015,"AL","Pleasant Grove Middle Sch","Middle","Regular","377","No","No","Yes"
"43",2015,"AL","Erwin Middle Sch","Middle","Regular","591","No","No","Yes"
"44",2015,"AL","Lawrence County Developmental","High","Special","14","No","No","Yes"
"45",2015,"AL","Wacoochee Elem Sch","Primary","Regular","542","No","No","Yes"
"46",2015,"AL","Smith Station Freshman Ctr","Other","Regular","502","No","No","Yes"
"47",2015,"AL","Macon Co Area Voc Sch","High","Other","Missing/not reported","No","No","Yes"
"48",2015,"AL","Riverton Intermediate Sch","Middle","Regular","759","No","No","Yes"
"49",2015,"AL","Moores Mill Intermediate","Middle","Regular","668","No","No","Yes"
"50",2015,"AL","Dawes Intermediate Sch","Primary","Regular","540","No","No","Yes"
"51",2015,"AL","Evening Educational Options","High","Vocational","54","No","No","Yes"
"52",2015,"AL","Taylor White Elementary School","Primary","Regular","345","No","No","Yes"
"53",2015,"AL","Park Crossing High School","High","Regular","1340","No","No","Yes"
"54",2015,"AL","Montgomery Preparatory Academy for Caree","High","Other","29","No","No","Yes"
"55",2015,"AL","Oneonta Middle School","Middle","Regular","353","No","No","Yes"
"56",2015,"AL","RISE Academy","Other","Special","56","No","No","Yes"
"57",2015,"AL","Lakewood Primary Sch","Primary","Regular","535","No","No","Yes"
"58",2015,"AL","Success Academy","Other","Vocational","Missing/not reported","No","No","Yes"
"59",2015,"AL","Wedowee Elem Sch","Primary","Regular","284","No","No","Yes"
"60",2015,"AL","Mt Olive Primary Sch","Primary","Regular","376","No","No","Yes"
"61",2015,"AL","Forest Oaks Elementary School","Primary","Regular","713","No","No","Yes"
"62",2015,"AL","Helena High School","High","Regular","1152","No","No","Yes"
"63",2015,"AL","Calera Intermediate Sch","Primary","Regular","669","No","No","Yes"
"64",2015,"AL","Margaret Elem","Primary","Regular","676","No","No","Yes"
"65",2015,"AL","Sumter Central High Sch","High","Regular","533","No","No","Yes"
"66",2015,"AL","Edward Bell Career Technical Center","High","Other","Missing/not reported","No","No","Yes"
"67",2015,"AL","Big Sandy Elementary","Primary","Regular","337","No","No","Yes"
"68",2015,"AL","Sumiton Elementary School","Primary","Regular","656","No","No","Yes"
"69",2015,"AZ","Foothills Academy Connected","High","Regular","13","Yes","Missing/not reported","Yes"
"70",2015,"AZ","Colorado River Union High School District-Online","High","Regular","116","No","Missing/not reported","Yes"
"71",2015,"AZ","Humanities and Sciences Academy Arizona","High","Regular","31","Yes","Missing/not reported","Yes"
"72",2015,"AZ","Sequoia Choice School Arizona Distance Learning School","Other","Regular","521","Yes","Missing/not reported","Yes"
"73",2015,"AZ","San Pedro Valley Online Academy","Other","Regular","10","No","Missing/not reported","Yes"
"74",2015,"AZ","Cyber High School","High","Regular","53","Yes","Missing/not reported","Yes"
"75",2015,"AZ","E-Institute at Taylion","High","Regular","214","Yes","Missing/not reported","Yes"
"76",2015,"AZ","Primavera - Online","Other","Regular","3299","Yes","Missing/not reported","Yes"
"77",2015,"AZ","CAVIAT - eCampus","High","Vocational","Missing/not reported","No","Missing/not reported","Yes"
"78",2015,"AZ","iSchool2020","High","Regular","5","Yes","Missing/not reported","Yes"
"79",2015,"AZ","Leading Edge Online Academy","Other","Regular","77","Yes","Missing/not reported","Yes"
"80",2015,"AZ","Mosaica Online of Arizona","Primary","Regular","7","Yes","Missing/not reported","Yes"
"81",2015,"AZ","Pillar Academy Online","High","Regular","53","Yes","Missing/not reported","Yes"
"82",2015,"AZ","Arizona Connections Academy","Other","Regular","1892","Yes","Missing/not reported","Yes"
"83",2015,"AZ","Arizona Virtual Academy","Other","Regular","3635","Yes","Missing/not reported","Yes"
"84",2015,"AZ","Arizona Insight Academy","High","Regular","840","Yes","Missing/not reported","Yes"
"85",2015,"AZ","Pinnacle Virtual High School","Other","Regular","330","Yes","Missing/not reported","Yes"
"86",2015,"AZ","Hope High School Online","High","Regular","126","Yes","Missing/not reported","Yes"
"87",2015,"AZ","RSD High School","High","Regular","131","Yes","Missing/not reported","Yes"
"88",2015,"AZ","Amphi Academy at Donaldson","Primary","Regular","0","No","Missing/not reported","Yes"
"89",2015,"AZ","Amphi Academy at El Hogar","High","Regular","34","No","Missing/not reported","Yes"
"90",2015,"AZ","AUHS Online Acadamy","High","Regular","16","No","Missing/not reported","Yes"
"91",2015,"AZ","Superstition Mountain On-Line School","High","Regular","13","No","Missing/not reported","Yes"
"92",2015,"AZ","EdOptions HS Learning Center","High","Regular","596","Yes","Missing/not reported","Yes"
"93",2015,"AZ","Mosaica Online High School of Arizona","High","Regular","5","Yes","Missing/not reported","Yes"
"94",2015,"AZ","BUHSD Institute of Online Learning","High","Regular","0","No","Missing/not reported","Yes"
"95",2015,"AZ","Chandler Online Academy","High","Regular","179","No","Missing/not reported","Yes"
"96",2015,"AZ","Arizona iZone Institute Online Program","Other","Regular","0","No","Missing/not reported","Yes"
"97",2015,"AZ","Dysart iSchool","High","Regular","21","No","Missing/not reported","Yes"
"98",2015,"AZ","Florence Virtual Academy","Other","Regular","0","No","Missing/not reported","Yes"
"99",2015,"AZ","Flowing Wells Digital Campus","High","Regular","28","No","Missing/not reported","Yes"
"100",2015,"AZ","Fountain Hills.Online","High","Regular","0","No","Missing/not reported","Yes"
"101",2015,"AZ","Gilbert Global Academy High School","High","Regular","45","No","Missing/not reported","Yes"
"102",2015,"AZ","Gilbert Global Academy Junior High","Middle","Regular","3","No","Missing/not reported","Yes"
"103",2015,"AZ","Havasuonline","Other","Regular","4","No","Missing/not reported","Yes"
"104",2015,"AZ","Marana Distance Learning","Other","Regular","51","No","Missing/not reported","Yes"
"105",2015,"AZ","Mesa Distance Learning Program","Other","Regular","205","No","Missing/not reported","Yes"
"106",2015,"AZ","Mingus Online Academy","High","Regular","12","No","Missing/not reported","Yes"
"107",2015,"AZ","PVHS AOI Program","High","Regular","0","No","Missing/not reported","Yes"
"108",2015,"AZ","pvONLINE","Other","Regular","74","No","Missing/not reported","Yes"
"109",2015,"AZ","Payson Virtual Academy","High","Regular","13","No","Missing/not reported","Yes"
"110",2015,"AZ","Peoria eCampus","Other","Regular","41","No","Missing/not reported","Yes"
"111",2015,"AZ","Queen Creek Virtual Academy","Other","Regular","4","No","Missing/not reported","Yes"
"112",2015,"AZ","White Mountain Academy","High","Regular","17","No","Missing/not reported","Yes"
"113",2015,"AZ","Scottsdale Online Learning","Other","Regular","94","No","Missing/not reported","Yes"
"114",2015,"AZ","WMI ON LINE","High","Regular","16","No","Missing/not reported","Yes"
"115",2015,"AZ","eSchool","High","Regular","36","No","Missing/not reported","Yes"
"116",2015,"AZ","Sunnyside Online Success Academy","Other","Regular","17","No","Missing/not reported","Yes"
"117",2015,"AZ","TAPBI","High","Regular","0","No","Missing/not reported","Yes"
"118",2015,"AZ","ECambridge","Other","Regular","0","No","Missing/not reported","Yes"
"119",2015,"AZ","TUSD - Distance Learning Program","Other","Regular","210","No","Missing/not reported","Yes"
"120",2015,"AZ","Vail Digital Learning Program","Other","Regular","66","No","Missing/not reported","Yes"
"121",2015,"AZ","Wickenburg Virtual Academy","Other","Regular","0","No","Missing/not reported","Yes"
"122",2015,"AZ","Yuma District One Digital Learning Academy","Primary","Regular","3","No","Missing/not reported","Yes"
"123",2015,"AZ","Yuma Online Distance Academy","High","Regular","11","No","Missing/not reported","Yes"
"124",2015,"AZ","Red Rock Academy","High","Regular","13","No","Missing/not reported","Yes"
"125",2015,"CA","Academy of Arts and Sciences: Los Angeles (9-12)","High","Regular","29","Yes","No","Yes"
"126",2015,"CA","SIATech Academy South","High","Regular","96","Yes","No","Yes"
